rank,N,W,MIN_POP_PCT,LAM,n_stations,direct_demand,max_demand,direct_pct_of_max,feasible,captured_demand,captured_pct_of_max,improvement_pct,current_captured,direct_improvement_pct,current_direct_demand
355,85,0.6,80,0.5,85,292627.0,2261192.0,12.94,True,1653004.7948,87.85,-0.0,1653793.0999,-10.3,326375.0
356,85,0.9,90,0.5,85,291747.0,2261192.0,12.9,False,1665360.6152,88.51,0.7,1653793.0999,-10.6,326375.0
357,90,0.7,85,0.5,90,290838.0,2261192.0,12.86,False,1679591.4332,89.27,1.6,1653793.0999,-10.9,326375.0
358,90,0.9,85,0.3,90,289174.0,2261192.0,12.79,False,1681426.3583,89.36,1.7,1653793.0999,-11.4,326375.0
359,90,0.9,90,0.3,90,289174.0,2261192.0,12.79,False,1681426.3583,89.36,1.7,1653793.0999,-11.4,326375.0
360,85,0.7,90,0.5,85,288841.0,2261192.0,12.77,False,1662209.2341,88.34,0.5,1653793.0999,-11.5,326375.0
361,85,0.8,75,0.5,85,288835.0,2261192.0,12.77,True,1662811.7583,88.37,0.5,1653793.0999,-11.5,326375.0
362,90,0.8,85,0.5,90,288572.0,2261192.0,12.76,True,1682939.3434,89.44,1.8,1653793.0999,-11.6,326375.0
363,85,0.7,85,0.5,85,287214.0,2261192.0,12.7,False,1659229.7513,88.18,0.3,1653793.0999,-12.0,326375.0
364,85,1.0,85,0.5,85,287168.0,2261192.0,12.7,False,1676487.1361,89.1,1.4,1653793.0999,-12.0,326375.0
365,85,0.7,80,0.5,85,286834.0,2261192.0,12.69,True,1672946.7213,88.91,1.2,1653793.0999,-12.1,326375.0
366,85,0.9,85,0.5,85,286743.0,2261192.0,12.68,False,1669994.9299,88.76,1.0,1653793.0999,-12.1,326375.0
367,90,0.8,85,0.3,90,286026.0,2261192.0,12.65,False,1683880.5608,89.49,1.8,1653793.0999,-12.4,326375.0
368,90,0.8,90,0.3,90,286026.0,2261192.0,12.65,False,1683880.5608,89.49,1.8,1653793.0999,-12.4,326375.0
369,90,0.8,90,0.5,90,285888.0,2261192.0,12.64,False,1686026.5335,89.61,1.9,1653793.0999,-12.4,326375.0
370,85,0.6,85,0.3,85,285364.0,2261192.0,12.62,False,1670146.6743,88.76,1.0,1653793.0999,-12.6,326375.0
371,85,0.6,90,0.3,85,285364.0,2261192.0,12.62,False,1670146.6743,88.76,1.0,1653793.0999,-12.6,326375.0
372,80,1.0,85,0.5,80,284999.0,2261192.0,12.6,False,1648078.9863,87.59,-0.3,1653793.0999,-12.7,326375.0
373,85,0.6,90,0.5,85,281580.0,2261192.0,12.45,False,1665538.4461,88.52,0.7,1653793.0999,-13.7,326375.0
374,85,0.6,85,0.5,85,281580.0,2261192.0,12.45,False,1665538.4461,88.52,0.7,1653793.0999,-13.7,326375.0
375,85,0.8,85,0.5,85,281492.0,2261192.0,12.45,False,1667655.4048,88.63,0.8,1653793.0999,-13.8,326375.0
376,85,0.8,90,0.5,85,281492.0,2261192.0,12.45,False,1667655.4048,88.63,0.8,1653793.0999,-13.8,326375.0
377,85,1.0,80,0.5,85,280754.0,2261192.0,12.42,False,1661533.6809,88.31,0.5,1653793.0999,-14.0,326375.0
378,85,0.7,75,0.5,85,280688.0,2261192.0,12.41,True,1646588.4955,87.51,-0.4,1653793.0999,-14.0,326375.0
379,85,0.6,75,0.5,85,280688.0,2261192.0,12.41,True,1646588.4955,87.51,-0.4,1653793.0999,-14.0,326375.0
380,80,0.9,80,0.3,80,280664.0,2261192.0,12.41,True,1636713.7049,86.99,-1.0,1653793.0999,-14.0,326375.0
381,85,0.7,85,0.3,85,280421.0,2261192.0,12.4,False,1656415.1243,88.03,0.2,1653793.0999,-14.1,326375.0
382,85,0.8,90,0.3,85,280227.0,2261192.0,12.39,False,1658130.1124,88.13,0.3,1653793.0999,-14.1,326375.0
383,85,1.0,80,0.3,85,280169.0,2261192.0,12.39,False,1656198.2985,88.02,0.1,1653793.0999,-14.2,326375.0
384,80,0.8,90,0.5,80,279608.0,2261192.0,12.37,False,1648930.91,87.64,-0.3,1653793.0999,-14.3,326375.0
385,80,0.8,85,0.5,80,279608.0,2261192.0,12.37,False,1648930.91,87.64,-0.3,1653793.0999,-14.3,326375.0
386,85,0.8,80,0.5,85,278145.0,2261192.0,12.3,True,1665310.4949,88.51,0.7,1653793.0999,-14.8,326375.0
387,85,0.7,75,0.3,85,277804.0,2261192.0,12.29,False,1643837.0626,87.37,-0.6,1653793.0999,-14.9,326375.0
388,85,0.6,75,0.3,85,277804.0,2261192.0,12.29,False,1643837.0626,87.37,-0.6,1653793.0999,-14.9,326375.0
389,85,0.7,90,0.3,85,277467.0,2261192.0,12.27,False,1666016.1881,88.54,0.7,1653793.0999,-15.0,326375.0
390,85,0.9,75,0.3,85,277148.0,2261192.0,12.26,False,1642744.8753,87.31,-0.7,1653793.0999,-15.1,326375.0
391,85,1.0,75,0.3,85,277148.0,2261192.0,12.26,False,1642744.8753,87.31,-0.7,1653793.0999,-15.1,326375.0
392,85,0.9,80,0.5,85,277091.0,2261192.0,12.25,True,1647574.4103,87.56,-0.4,1653793.0999,-15.1,326375.0
393,85,0.9,80,0.3,85,277009.0,2261192.0,12.25,True,1645432.2959,87.45,-0.5,1653793.0999,-15.1,326375.0
394,85,0.8,85,0.3,85,276676.0,2261192.0,12.24,True,1651792.1585,87.79,-0.1,1653793.0999,-15.2,326375.0
395,85,0.9,85,0.3,85,276566.0,2261192.0,12.23,False,1637947.4947,87.05,-1.0,1653793.0999,-15.3,326375.0
396,85,0.8,80,0.3,85,276072.0,2261192.0,12.21,True,1658107.6777,88.12,0.3,1653793.0999,-15.4,326375.0
397,80,0.6,80,0.3,80,276044.0,2261192.0,12.21,False,1641020.0684,87.22,-0.8,1653793.0999,-15.4,326375.0
398,80,0.7,90,0.5,80,275925.0,2261192.0,12.2,False,1647210.3037,87.54,-0.4,1653793.0999,-15.5,326375.0
399,80,0.7,85,0.5,80,275925.0,2261192.0,12.2,False,1647210.3037,87.54,-0.4,1653793.0999,-15.5,326375.0
400,85,1.0,85,0.3,85,275475.0,2261192.0,12.18,False,1668855.3121,88.7,0.9,1653793.0999,-15.6,326375.0
401,80,0.8,80,0.5,80,275377.0,2261192.0,12.18,False,1651869.8895,87.79,-0.1,1653793.0999,-15.6,326375.0
402,80,0.6,75,0.5,80,274879.0,2261192.0,12.16,True,1631166.767,86.69,-1.4,1653793.0999,-15.8,326375.0
403,85,0.9,75,0.5,85,274749.0,2261192.0,12.15,False,1636751.9453,86.99,-1.0,1653793.0999,-15.8,326375.0
404,85,1.0,75,0.5,85,274749.0,2261192.0,12.15,False,1636751.9453,86.99,-1.0,1653793.0999,-15.8,326375.0
405,85,0.9,90,0.3,85,274555.0,2261192.0,12.14,False,1669336.3146,88.72,0.9,1653793.0999,-15.9,326375.0
406,80,0.6,90,0.5,80,274047.0,2261192.0,12.12,False,1647096.0129,87.54,-0.4,1653793.0999,-16.0,326375.0
407,80,0.6,85,0.5,80,274047.0,2261192.0,12.12,False,1647096.0129,87.54,-0.4,1653793.0999,-16.0,326375.0
408,80,0.7,75,0.5,80,273793.0,2261192.0,12.11,True,1627828.2752,86.51,-1.6,1653793.0999,-16.1,326375.0
409,80,1.0,75,0.5,80,273706.0,2261192.0,12.1,False,1630710.4996,86.67,-1.4,1653793.0999,-16.1,326375.0
410,85,0.7,80,0.3,85,273620.0,2261192.0,12.1,False,1652052.4217,87.8,-0.1,1653793.0999,-16.2,326375.0
411,80,0.9,75,0.5,80,273288.0,2261192.0,12.09,False,1632832.125,86.78,-1.3,1653793.0999,-16.3,326375.0
412,85,0.8,75,0.3,85,273227.0,2261192.0,12.08,True,1651064.5045,87.75,-0.2,1653793.0999,-16.3,326375.0
413,80,1.0,85,0.3,80,272900.0,2261192.0,12.07,False,1640040.9437,87.16,-0.8,1653793.0999,-16.4,326375.0
414,80,1.0,90,0.3,80,272900.0,2261192.0,12.07,False,1640040.9437,87.16,-0.8,1653793.0999,-16.4,326375.0
415,85,1.0,90,0.5,85,271301.0,2261192.0,12.0,False,1667823.5479,88.64,0.8,1653793.0999,-16.9,326375.0
416,90,0.7,85,0.3,90,270801.0,2261192.0,11.98,False,1665491.9073,88.52,0.7,1653793.0999,-17.0,326375.0
417,80,0.6,90,0.3,80,270714.0,2261192.0,11.97,False,1635387.3231,86.92,-1.1,1653793.0999,-17.1,326375.0
418,80,0.7,90,0.3,80,270714.0,2261192.0,11.97,False,1635387.3231,86.92,-1.1,1653793.0999,-17.1,326375.0
419,80,0.7,85,0.3,80,270714.0,2261192.0,11.97,False,1635387.3231,86.92,-1.1,1653793.0999,-17.1,326375.0
420,80,0.6,85,0.3,80,270714.0,2261192.0,11.97,False,1635387.3231,86.92,-1.1,1653793.0999,-17.1,326375.0
421,75,0.9,85,0.5,75,269945.0,2261192.0,11.94,False,1629840.8616,86.62,-1.4,1653793.0999,-17.3,326375.0
422,75,0.9,90,0.5,75,269945.0,2261192.0,11.94,False,1629840.8616,86.62,-1.4,1653793.0999,-17.3,326375.0
423,75,1.0,75,0.5,75,269555.0,2261192.0,11.92,True,1607775.2962,85.45,-2.8,1653793.0999,-17.4,326375.0
424,80,0.7,80,0.5,80,269391.0,2261192.0,11.91,True,1636110.1818,86.96,-1.1,1653793.0999,-17.5,326375.0
425,80,1.0,90,0.5,80,269367.0,2261192.0,11.91,False,1639570.8103,87.14,-0.9,1653793.0999,-17.5,326375.0
426,80,0.7,80,0.3,80,269294.0,2261192.0,11.91,True,1627786.3975,86.51,-1.6,1653793.0999,-17.5,326375.0
427,75,0.6,90,0.5,75,269069.0,2261192.0,11.9,False,1628147.2679,86.53,-1.6,1653793.0999,-17.6,326375.0
428,75,0.6,85,0.5,75,269069.0,2261192.0,11.9,False,1628147.2679,86.53,-1.6,1653793.0999,-17.6,326375.0
429,80,1.0,80,0.5,80,269062.0,2261192.0,11.9,True,1632783.3671,86.78,-1.3,1653793.0999,-17.6,326375.0
430,80,0.7,75,0.3,80,267878.0,2261192.0,11.85,True,1626933.4987,86.47,-1.6,1653793.0999,-17.9,326375.0
